"filename", "language", "Python", "Jinja", "SQLite", "comment", "blank", "total"
"d:\Dev\Workspace\slife\slife\__init__.py", "Python", 82, 0, 0, 40, 20, 142
"d:\Dev\Workspace\slife\slife\__main__.py", "Python", 11, 0, 0, 4, 7, 22
"d:\Dev\Workspace\slife\slife\a2a\__init__.py", "Python", 46, 0, 0, 10, 3, 59
"d:\Dev\Workspace\slife\slife\a2a\broker.py", "Python", 17, 0, 0, 10, 6, 33
"d:\Dev\Workspace\slife\slife\a2a\card.py", "Python", 11, 0, 0, 2, 8, 21
"d:\Dev\Workspace\slife\slife\a2a\client.py", "Python", 396, 0, 0, 124, 112, 632
"d:\Dev\Workspace\slife\slife\a2a\config.py", "Python", 51, 0, 0, 32, 21, 104
"d:\Dev\Workspace\slife\slife\a2a\http.py", "Python", 112, 0, 0, 76, 30, 218
"d:\Dev\Workspace\slife\slife\a2a\identity.py", "Python", 20, 0, 0, 22, 12, 54
"d:\Dev\Workspace\slife\slife\a2a\mqtt.py", "Python", 181, 0, 0, 56, 43, 280
"d:\Dev\Workspace\slife\slife\a2a\task_store.py", "Python", 105, 0, 0, 39, 40, 184
"d:\Dev\Workspace\slife\slife\a2a\transport.py", "Python", 30, 0, 0, 62, 14, 106
"d:\Dev\Workspace\slife\slife\agent\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"d:\Dev\Workspace\slife\slife\agent\conversation.py", "Python", 397, 0, 0, 177, 63, 637
"d:\Dev\Workspace\slife\slife\agent\inbox.py", "Python", 227, 0, 0, 97, 48, 372
"d:\Dev\Workspace\slife\slife\agent\llm_backends\__init__.py", "Python", 0, 0, 0, 6, 1, 7
"d:\Dev\Workspace\slife\slife\agent\llm_backends\anthropic.py", "Python", 209, 0, 0, 21, 27, 257
"d:\Dev\Workspace\slife\slife\agent\llm_backends\openai.py", "Python", 118, 0, 0, 13, 22, 153
"d:\Dev\Workspace\slife\slife\agent\llm_backends\openai_responses.py", "Python", 189, 0, 0, 15, 27, 231
"d:\Dev\Workspace\slife\slife\agent\llm_client.py", "Python", 68, 0, 0, 26, 24, 118
"d:\Dev\Workspace\slife\slife\agent\loop.py", "Python", 494, 0, 0, 192, 102, 788
"d:\Dev\Workspace\slife\slife\agent\multimodal.py", "Python", 31, 0, 0, 8, 12, 51
"d:\Dev\Workspace\slife\slife\agent\plugins.py", "Python", 234, 0, 0, 74, 46, 354
"d:\Dev\Workspace\slife\slife\agent\service.py", "Python", 968, 0, 0, 364, 184, 1516
"d:\Dev\Workspace\slife\slife\agent\system_prompt.py", "Python", 127, 0, 0, 31, 22, 180
"d:\Dev\Workspace\slife\slife\agent\templates\context_status.j2", "Jinja", 0, 15, 0, 0, 1, 16
"d:\Dev\Workspace\slife\slife\agent\templates\system_prompt.j2", "Jinja", 0, 51, 0, 0, 9, 60
"d:\Dev\Workspace\slife\slife\bootstrap.py", "Python", 64, 0, 0, 36, 21, 121
"d:\Dev\Workspace\slife\slife\config.py", "Python", 684, 0, 0, 208, 115, 1007
"d:\Dev\Workspace\slife\slife\env.py", "Python", 24, 0, 0, 13, 5, 42
"d:\Dev\Workspace\slife\slife\health.py", "Python", 98, 0, 0, 38, 21, 157
"d:\Dev\Workspace\slife\slife\logfmt.py", "Python", 169, 0, 0, 174, 63, 406
"d:\Dev\Workspace\slife\slife\mcp\__init__.py", "Python", 9, 0, 0, 7, 3, 19
"d:\Dev\Workspace\slife\slife\mcp\client.py", "Python", 174, 0, 0, 64, 29, 267
"d:\Dev\Workspace\slife\slife\mcp\oauth.py", "Python", 239, 0, 0, 62, 54, 355
"d:\Dev\Workspace\slife\slife\mcp\process.py", "Python", 189, 0, 0, 73, 42, 304
"d:\Dev\Workspace\slife\slife\mcp\tool_adapter.py", "Python", 173, 0, 0, 95, 35, 303
"d:\Dev\Workspace\slife\slife\memfiles\__init__.py", "Python", 0, 0, 0, 11, 1, 12
"d:\Dev\Workspace\slife\slife\memfiles\token.py", "Python", 97, 0, 0, 47, 30, 174
"d:\Dev\Workspace\slife\slife\memfiles\tunnel.py", "Python", 154, 0, 0, 62, 58, 274
"d:\Dev\Workspace\slife\slife\os_detect.py", "Python", 27, 0, 0, 66, 14, 107
"d:\Dev\Workspace\slife\slife\paths.py", "Python", 34, 0, 0, 43, 20, 97
"d:\Dev\Workspace\slife\slife\platform.py", "Python", 144, 0, 0, 84, 30, 258
"d:\Dev\Workspace\slife\slife\plugins\__init__.py", "Python", 23, 0, 0, 37, 9, 69
"d:\Dev\Workspace\slife\slife\plugins\mcp\__init__.py", "Python", 0, 0, 0, 7, 1, 8
"d:\Dev\Workspace\slife\slife\plugins\mcp\connection.py", "Python", 655, 0, 0, 115, 98, 868
"d:\Dev\Workspace\slife\slife\plugins\mcp\server.py", "Python", 281, 0, 0, 41, 41, 363
"d:\Dev\Workspace\slife\slife\plugins\memdb\__init__.py", "Python", 0, 0, 0, 8, 1, 9
"d:\Dev\Workspace\slife\slife\plugins\memdb\embedding_config.py", "Python", 196, 0, 0, 33, 41, 270
"d:\Dev\Workspace\slife\slife\plugins\memdb\embeddings.py", "Python", 288, 0, 0, 90, 52, 430
"d:\Dev\Workspace\slife\slife\plugins\memdb\schema.sql", "SQLite", 0, 0, 41, 32, 19, 92
"d:\Dev\Workspace\slife\slife\plugins\memdb\search.py", "Python", 58, 0, 0, 30, 11, 99
"d:\Dev\Workspace\slife\slife\plugins\memdb\server.py", "Python", 556, 0, 0, 90, 88, 734
"d:\Dev\Workspace\slife\slife\plugins\memdb\store.py", "Python", 564, 0, 0, 212, 67, 843
"d:\Dev\Workspace\slife\slife\plugins\memfiles\__init__.py", "Python", 0, 0, 0, 13, 1, 14
"d:\Dev\Workspace\slife\slife\plugins\memfiles\server.py", "Python", 54, 0, 0, 27, 21, 102
"d:\Dev\Workspace\slife\slife\plugins\wechat\__init__.py", "Python", 0, 0, 0, 15, 1, 16
"d:\Dev\Workspace\slife\slife\plugins\wechat\client.py", "Python", 276, 0, 0, 68, 51, 395
"d:\Dev\Workspace\slife\slife\plugins\wechat\config.py", "Python", 51, 0, 0, 28, 17, 96
"d:\Dev\Workspace\slife\slife\plugins\wechat\server.py", "Python", 566, 0, 0, 89, 124, 779
"d:\Dev\Workspace\slife\slife\server_utils.py", "Python", 111, 0, 0, 160, 39, 310
"d:\Dev\Workspace\slife\slife\subagent\__init__.py", "Python", 8, 0, 0, 24, 4, 36
"d:\Dev\Workspace\slife\slife\subagent\headless.py", "Python", 160, 0, 0, 32, 34, 226
"d:\Dev\Workspace\slife\slife\subagent\process.py", "Python", 358, 0, 0, 78, 58, 494
"d:\Dev\Workspace\slife\slife\subagent\tools.py", "Python", 1, 0, 0, 9, 2, 12
"d:\Dev\Workspace\slife\slife\tools\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"d:\Dev\Workspace\slife\slife\tools\_config_io.py", "Python", 56, 0, 0, 29, 26, 111
"d:\Dev\Workspace\slife\slife\tools\a2a.py", "Python", 677, 0, 0, 105, 137, 919
"d:\Dev\Workspace\slife\slife\tools\base.py", "Python", 60, 0, 0, 140, 27, 227
"d:\Dev\Workspace\slife\slife\tools\cli.py", "Python", 232, 0, 0, 34, 55, 321
"d:\Dev\Workspace\slife\slife\tools\config.py", "Python", 164, 0, 0, 11, 36, 211
"d:\Dev\Workspace\slife\slife\tools\context.py", "Python", 13, 0, 0, 22, 10, 45
"d:\Dev\Workspace\slife\slife\tools\credentials.py", "Python", 96, 0, 0, 7, 23, 126
"d:\Dev\Workspace\slife\slife\tools\display.py", "Python", 83, 0, 0, 13, 25, 121
"d:\Dev\Workspace\slife\slife\tools\exec.py", "Python", 141, 0, 0, 20, 31, 192
"d:\Dev\Workspace\slife\slife\tools\factory.py", "Python", 71, 0, 0, 54, 25, 150
"d:\Dev\Workspace\slife\slife\tools\memfiles.py", "Python", 284, 0, 0, 47, 76, 407
"d:\Dev\Workspace\slife\slife\tools\meta.py", "Python", 177, 0, 0, 18, 47, 242
"d:\Dev\Workspace\slife\slife\tools\models.py", "Python", 583, 0, 0, 63, 106, 752
"d:\Dev\Workspace\slife\slife\tools\registry.py", "Python", 53, 0, 0, 28, 20, 101
"d:\Dev\Workspace\slife\slife\tools\rest_api.py", "Python", 248, 0, 0, 12, 53, 313
"d:\Dev\Workspace\slife\slife\tools\skill.py", "Python", 347, 0, 0, 94, 75, 516
"d:\Dev\Workspace\slife\slife\tools\system.py", "Python", 343, 0, 0, 79, 87, 509
"d:\Dev\Workspace\slife\slife\ui\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"d:\Dev\Workspace\slife\slife\ui\app.py", "Python", 336, 0, 0, 107, 92, 535
"d:\Dev\Workspace\slife\slife\ui\approval_dialog.py", "Python", 115, 0, 0, 20, 13, 148
"d:\Dev\Workspace\slife\slife\ui\chat.py", "Python", 215, 0, 0, 117, 51, 383
